index,model,estimate,archivedt
2020-04-12,m.rt,1.1156130772328634,2022-11-01
2020-04-13,can,1.08,2022-11-01
2020-04-13,linlab,1.20123646643015,2022-11-01
2020-04-13,ucsf,1.14604934525396,2022-11-01
2020-04-13,m.rt,1.1309628589841834,2022-11-01
2020-04-14,can,1.08,2022-11-01
2020-04-14,linlab,1.27733419125868,2022-11-01
2020-04-14,ucsf,1.14400085925411,2022-11-01
2020-04-14,m.rt,1.1306708431855232,2022-11-01
2020-04-15,can,1.08,2022-11-01
2020-04-15,linlab,1.22823418688524,2022-11-01
2020-04-15,ucsf,1.142109017815,2022-11-01
2020-04-15,m.rt,1.14405307410769,2022-11-01
2020-04-16,can,1.08,2022-11-01
2020-04-16,linlab,1.23526159873886,2022-11-01
2020-04-16,ucsf,1.13982395808065,2022-11-01
2020-04-16,m.rt,1.14197794504992,2022-11-01
2020-04-17,can,1.08,2022-11-01
2020-04-17,linlab,1.19586258189887,2022-11-01
2020-04-17,ucsf,1.13668548686475,2022-11-01
2020-04-17,m.rt,1.1395394875868001,2022-11-01
2020-04-18,can,1.08,2022-11-01
2020-04-18,linlab,1.11445912082408,2022-11-01
2020-04-18,ucsf,1.1323922635655,2022-11-01
2020-04-18,m.rt,1.1303228552564935,2022-11-01
2020-04-19,can,1.08,2022-11-01
2020-04-19,linlab,1.14903295418459,2022-11-01
2020-04-19,ucsf,1.12687860583237,2022-11-01
2020-04-19,m.rt,1.1260077378404,2022-11-01
2020-04-20,can,1.09,2022-11-01
2020-04-20,linlab,1.05925075923425,2022-11-01
2020-04-20,ucsf,1.12035142374581,2022-11-01
2020-04-20,m.rt,1.1104459088854834,2022-11-01
2020-04-21,can,1.09,2022-11-01
2020-04-21,linlab,0.985847065858996,2022-11-01
2020-04-21,ucsf,1.1132456229957,2022-11-01
2020-04-21,m.rt,1.10229286861079,2022-11-01
2020-04-22,can,1.08,2022-11-01
2020-04-22,linlab,1.0272089358146,2022-11-01
2020-04-22,ucsf,1.10609571097226,2022-11-01
2020-04-22,m.rt,1.0866666666666667,2022-11-01
2020-04-23,can,1.08,2022-11-01
2020-04-23,linlab,0.994270358391677,2022-11-01
2020-04-23,ucsf,1.09937575580178,2022-11-01
2020-04-23,m.rt,1.0833333333333333,2022-11-01
2020-04-24,can,1.08,2022-11-01
2020-04-24,linlab,0.992190583144417,2022-11-01
2020-04-24,ucsf,1.09338375245241,2022-11-01
2020-04-24,m.rt,1.08,2022-11-01
2020-04-25,can,1.08,2022-11-01
2020-04-25,linlab,1.02909340232065,2022-11-01
2020-04-25,ucsf,1.0881966658163,2022-11-01
2020-04-25,m.rt,1.08,2022-11-01
2020-04-26,can,1.07,2022-11-01
2020-04-26,linlab,1.03046883423006,2022-11-01
2020-04-26,ucsf,1.08371947228763,2022-11-01
2020-04-26,m.rt,1.0766666666666669,2022-11-01
2020-04-27,can,1.07,2022-11-01
2020-04-27,linlab,1.00443777371572,2022-11-01
2020-04-27,ucsf,1.07977928744075,2022-11-01
2020-04-27,m.rt,1.0733333333333335,2022-11-01
2020-04-28,can,1.06,2022-11-01
2020-04-28,linlab,1.09860402476788,2022-11-01
2020-04-28,ucsf,1.07622150876031,2022-11-01
2020-04-28,m.rt,1.0720738362534368,2022-11-01
2020-04-29,can,1.06,2022-11-01
2020-04-29,linlab,1.03493091800074,2022-11-01
2020-04-29,ucsf,1.07295019194116,2022-11-01
2020-04-29,m.rt,1.0687405029201034,2022-11-01
2020-04-30,can,1.05,2022-11-01
2020-04-30,linlab,1.06189874467124,2022-11-01
2020-04-30,ucsf,1.06989987158276,2022-11-01
2020-04-30,m.rt,1.0660400844771833,2022-11-01
2020-05-01,can,1.05,2022-11-01
2020-05-01,linlab,1.07584195282024,2022-11-01
2020-05-01,ucsf,1.0669863093427,2022-11-01
2020-05-01,m.rt,1.0629616846713132,2022-11-01
2020-05-02,can,1.05,2022-11-01
2020-05-02,linlab,1.12633222690363,2022-11-01
2020-05-02,ucsf,1.06409011973533,2022-11-01
2020-05-02,m.rt,1.0643250579164232,2022-11-01
2020-05-03,can,1.05,2022-11-01
2020-05-03,linlab,1.0847728393008,2022-11-01
2020-05-03,ucsf,1.0610962169143,2022-11-01
2020-05-03,m.rt,1.06405754866411,2022-11-01
2020-05-04,can,1.04,2022-11-01
2020-05-04,linlab,1.07615174488101,2022-11-01
2020-05-04,ucsf,1.05796764768101,2022-11-01
2020-05-04,m.rt,1.0610513281102134,2022-11-01
2020-05-05,can,1.04,2022-11-01
2020-05-05,linlab,0.98945453328434,2022-11-01
2020-05-05,ucsf,1.05480617149501,2022-11-01
2020-05-05,m.rt,1.0530212881984367,2022-11-01
2020-05-06,can,1.04,2022-11-01
2020-05-06,linlab,1.00308596061985,2022-11-01
2020-05-06,ucsf,1.05184758905685,2022-11-01
2020-05-06,m.rt,1.0459892158936699,2022-11-01
2020-05-07,can,1.04,2022-11-01
2020-05-07,linlab,0.994329788377755,2022-11-01
2020-05-07,ucsf,1.04939243075728,2022-11-01
2020-05-07,m.rt,1.04,2022-11-01
2020-05-08,can,1.04,2022-11-01
2020-05-08,linlab,0.981690803482886,2022-11-01
2020-05-08,ucsf,1.04771646051264,2022-11-01
2020-05-08,m.rt,1.04,2022-11-01
2020-05-09,can,1.04,2022-11-01
2020-05-09,linlab,0.981171878265819,2022-11-01
2020-05-09,ucsf,1.04700083048994,2022-11-01
2020-05-09,m.rt,1.04,2022-11-01
2020-05-10,can,1.04,2022-11-01
2020-05-10,linlab,1.01768202232286,2022-11-01
2020-05-10,ucsf,1.0473020389162,2022-11-01
2020-05-10,m.rt,1.04,2022-11-01
2020-05-11,can,1.04,2022-11-01
2020-05-11,linlab,1.01041274065493,2022-11-01
2020-05-11,ucsf,1.04856687895346,2022-11-01
2020-05-11,m.rt,1.04,2022-11-01
2020-05-12,can,1.05,2022-11-01
2020-05-12,linlab,1.04415579776507,2022-11-01
2020-05-12,ucsf,1.05068416212525,2022-11-01
2020-05-12,m.rt,1.0433333333333332,2022-11-01
2020-05-13,can,1.05,2022-11-01
2020-05-13,linlab,1.05529362084209,2022-11-01
2020-05-13,ucsf,1.05353532475285,2022-11-01
2020-05-13,m.rt,1.0478451082509501,2022-11-01
2020-05-14,can,1.05,2022-11-01
2020-05-14,linlab,1.08466713017008,2022-11-01
2020-05-14,ucsf,1.05700583014294,2022-11-01
2020-05-14,m.rt,1.0535137182985965,2022-11-01
2020-05-15,can,1.06,2022-11-01
2020-05-15,linlab,1.0897856819846,2022-11-01
2020-05-15,ucsf,1.06096155003353,2022-11-01
2020-05-15,m.rt,1.0571675683097734,2022-11-01
2020-05-16,can,1.06,2022-11-01
2020-05-16,linlab,1.06937256895807,2022-11-01
2020-05-16,ucsf,1.06522275442167,2022-11-01
2020-05-16,m.rt,1.06106337819938,2022-11-01
2020-05-17,can,1.07,2022-11-01
2020-05-17,linlab,1.06906509790492,2022-11-01
2020-05-17,ucsf,1.06956418314515,2022-11-01
2020-05-17,m.rt,1.0652494958667833,2022-11-01
2020-05-18,can,1.07,2022-11-01
2020-05-18,linlab,1.10442529050783,2022-11-01
2020-05-18,ucsf,1.07374967566026,2022-11-01
2020-05-18,m.rt,1.0695122044090266,2022-11-01
2020-05-19,can,1.08,2022-11-01
2020-05-19,linlab,1.1061949112601701,2022-11-01
2020-05-19,ucsf,1.07758401971379,2022-11-01
2020-05-19,m.rt,1.0744379529351367,2022-11-01
2020-05-20,can,1.08,2022-11-01
2020-05-20,linlab,1.10988172656565,2022-11-01
2020-05-20,ucsf,1.08094458480897,2022-11-01
2020-05-20,m.rt,1.07823142015641,2022-11-01
2020-05-21,can,1.09,2022-11-01
2020-05-21,linlab,1.07585109371153,2022-11-01
2020-05-21,ucsf,1.08377216424496,2022-11-01
2020-05-21,m.rt,1.0815722496846434,2022-11-01
2020-05-22,can,1.09,2022-11-01
2020-05-22,linlab,1.12068295033503,2022-11-01
2020-05-22,ucsf,1.08603075582595,2022-11-01
2020-05-22,m.rt,1.0849055830179768,2022-11-01
2020-05-23,can,1.1,2022-11-01
2020-05-23,linlab,1.2027858566711,2022-11-01
2020-05-23,ucsf,1.08767426725006,2022-11-01
2020-05-23,m.rt,1.0912573880816534,2022-11-01
2020-05-24,can,1.1,2022-11-01
2020-05-24,linlab,1.19186651363049,2022-11-01
2020-05-24,ucsf,1.08864069027399,2022-11-01
2020-05-24,m.rt,1.0966666666666667,2022-11-01
2020-05-25,can,1.1,2022-11-01
2020-05-25,linlab,1.16545249348775,2022-11-01
2020-05-25,ucsf,1.08887811529682,2022-11-01
2020-05-25,m.rt,1.1,2022-11-01
2020-05-26,can,1.1,2022-11-01
2020-05-26,linlab,1.12494285515771,2022-11-01
2020-05-26,ucsf,1.0883805708803,2022-11-01
2020-05-26,m.rt,1.1,2022-11-01
2020-05-27,can,1.1,2022-11-01
2020-05-27,linlab,1.07206518482319,2022-11-01
2020-05-27,ucsf,1.08721023393747,2022-11-01
2020-05-27,m.rt,1.0957367446458235,2022-11-01
2020-05-28,can,1.1,2022-11-01
2020-05-28,linlab,1.10812954092271,2022-11-01
2020-05-28,ucsf,1.08551002393176,2022-11-01
2020-05-28,m.rt,1.0957367446458235,2022-11-01
2020-05-29,can,1.1,2022-11-01
2020-05-29,linlab,1.0876268195226,2022-11-01
2020-05-29,ucsf,1.08350352945522,2022-11-01
2020-05-29,m.rt,1.0916123511533566,2022-11-01
2020-05-30,can,1.1,2022-11-01
2020-05-30,linlab,1.02171018175968,2022-11-01
2020-05-30,ucsf,1.08147370786962,2022-11-01
2020-05-30,m.rt,1.0897001757974067,2022-11-01
2020-05-31,can,1.09,2022-11-01
2020-05-31,linlab,1.02885865619409,2022-11-01
2020-05-31,ucsf,1.07970843502282,2022-11-01
2020-05-31,m.rt,1.0829363208050133,2022-11-01
2020-06-01,can,1.09,2022-11-01
2020-06-01,linlab,1.01605420306727,2022-11-01
2020-06-01,ucsf,1.07844021115425,2022-11-01
2020-06-01,m.rt,1.0798741180155633,2022-11-01
2020-06-02,can,1.09,2022-11-01
2020-06-02,linlab,1.03522829609932,2022-11-01
2020-06-02,ucsf,1.07782083638906,2022-11-01
2020-06-02,m.rt,1.07865649418871,2022-11-01
2020-06-03,can,1.09,2022-11-01
2020-06-03,linlab,1.0778019914061,2022-11-01
2020-06-03,ucsf,1.07793697359003,2022-11-01
2020-06-03,m.rt,1.0780660070444466,2022-11-01
2020-06-04,can,1.09,2022-11-01
2020-06-04,linlab,1.06113950330551,2022-11-01
2020-06-04,ucsf,1.07885033435478,2022-11-01
2020-06-04,m.rt,1.0782027147779567,2022-11-01
2020-06-05,can,1.09,2022-11-01
2020-06-05,linlab,1.08297000218971,2022-11-01
2020-06-05,ucsf,1.08061999686858,2022-11-01
2020-06-05,m.rt,1.0799191033781732,2022-11-01
2020-06-06,can,1.09,2022-11-01
2020-06-06,linlab,1.08951277445692,2022-11-01
2020-06-06,ucsf,1.08329883722896,2022-11-01
2020-06-06,m.rt,1.0837777036671365,2022-11-01
2020-06-07,can,1.09,2022-11-01
2020-06-07,linlab,1.07088697380479,2022-11-01
2020-06-07,ucsf,1.08691508902227,2022-11-01
2020-06-07,m.rt,1.0864659552229667,2022-11-01
2020-06-08,can,1.1,2022-11-01
2020-06-08,linlab,1.05868562772735,2022-11-01
2020-06-08,ucsf,1.09147157046221,2022-11-01
2020-06-08,m.rt,1.0892998113138,2022-11-01
2020-06-09,can,1.1,2022-11-01
2020-06-09,linlab,1.09491511318472,2022-11-01
2020-06-09,ucsf,1.09696712192255,2022-11-01
2020-06-09,m.rt,1.0917845938023434,2022-11-01
2020-06-10,can,1.11,2022-11-01
2020-06-10,linlab,1.14764698020155,2022-11-01
2020-06-10,ucsf,1.10341273061064,2022-11-01
2020-06-10,m.rt,1.0994795641282533,2022-11-01
